name,calories,protein,carbs,fat
"Babyfood, banana apple dessert, strained",0.68,0.003,0.163,0.002
"Breakfast bar, corn flake crust with fruit",3.76,0.044,0.728,0.075
"Cheese, mozzarella, low sodium",2.8,0.275,0.031,0.171
"Mayonnaise dressing, no cholesterol",6.88,0.0,0.003,0.778
"Oil, corn, peanut, and olive",8.84,0.0,0.0,1.0
"Pie fillings, blueberry, canned",1.81,0.0041,0.4438,0.002
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",2.87,0.0008,0.716,0.0001
"Puddings, chocolate flavor, low calorie, regular, dry mix",3.65,0.1008,0.7442,0.03
"Puddings, all flavors except chocolate, low calorie, regular, dry mix",3.51,0.016,0.8604,0.001
"Mollusks, scallop, (bay and sea), cooked, steamed",1.11,0.2054,0.0541,0.0084
"Syrup, Cane",2.69,0.0,0.7314,0.0
"Mollusks, snail, raw",0.9,0.161,0.02,0.014
"Turtle, green, raw",0.89,0.198,0.0,0.005
"Lemons, raw, without peel",0.29,0.011,0.0932,0.003
"Lemon juice, raw",0.22,0.0035,0.069,0.0024
"Lemon juice from concentrate, canned or bottled",0.17,0.0045,0.0562,0.0007
"Lemon peel, raw",0.47,0.015,0.16,0.003
"Prickly pears, raw",0.41,0.0073,0.0957,0.0051
"Plums, dried (prunes), stewed, without added sugar",1.07,0.0096,0.2808,0.0016
"Plums, dried (prunes), stewed, with added sugar",1.24,0.0109,0.3288,0.0022
"Prune juice, canned",0.71,0.0061,0.1745,0.0003
"Pummelo, raw",0.38,0.0076,0.0962,0.0004
"Raspberries, raw",0.52,0.012,0.1194,0.0065
"Raspberries, canned, red, heavy syrup pack, solids and liquids",0.91,0.0083,0.2336,0.0012
"Raspberries, frozen, red, sweetened",1.03,0.007,0.2616,0.0016
"Rhubarb, raw",0.21,0.009,0.0454,0.002
"Sapodilla, raw",0.83,0.0044,0.1996,0.011
"Sapote, mamey, raw",1.24,0.0145,0.321,0.0046
"Soursop, raw",0.66,0.01,0.1684,0.003
"Strawberries, raw",0.32,0.0067,0.0768,0.003
"Tamarinds, raw",2.39,0.028,0.625,0.006
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",0.86,0.0041,0.2236,0.001
"Watermelon, raw",0.3,0.0061,0.0755,0.0015
"Maraschino cherries, canned, drained",1.65,0.0022,0.4197,0.0021
"Pineapple, canned, juice pack, drained",0.6,0.0051,0.1556,0.0011
"Apricots, canned, heavy syrup, drained",0.83,0.0064,0.2131,0.0011
"Cherries, sour, canned, water pack, drained",0.42,0.0069,0.1045,0.0021
"Cherries, sweet, canned, pitted, heavy syrup, drained",0.83,0.0073,0.2107,0.0021
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.46,0.001,0.113,0.0013
"Applesauce, canned, unsweetened, with added ascorbic acid",0.42,0.0017,0.1127,0.001
"Applesauce, canned, sweetened, with salt",0.76,0.0018,0.1991,0.0018
"Grapefruit juice, pink, raw",0.39,0.005,0.092,0.001
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.47,0.0014,0.1154,0.001
